"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\App.js", "JavaScript", 0, 235, 0, 0, 0, 0, 18, 253
"c:\Users\Lenovo\Desktop\aps\src\components\Error.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Lenovo\Desktop\aps\src\components\Error.module.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.js", "JavaScript", 0, 122, 0, 0, 0, 0, 9, 131
"c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.module.css", "CSS", 0, 0, 218, 0, 0, 0, 23, 241
"c:\Users\Lenovo\Desktop\aps\src\components\MainPage\reshot-icon-right-arrow-UCA8NGYZDJ.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\Desktop\aps\src\components\Notifications\Notifications.js", "JavaScript", 0, 96, 0, 0, 0, 0, 3, 99
"c:\Users\Lenovo\Desktop\aps\src\components\Notifications\Notifications.module.css", "CSS", 0, 0, 173, 0, 0, 0, 2, 175
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddDepartment.js", "JavaScript", 0, 167, 0, 0, 0, 0, 8, 175
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddDepartment.module.css", "CSS", 0, 0, 150, 0, 0, 0, 12, 162
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\AddStudent.css", "CSS", 0, 0, 261, 0, 0, 14, 15, 290
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\AddStudent.jsx", "JavaScript JSX", 0, 0, 0, 266, 0, 2, 4, 272
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\Button.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\Largeinput.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\SelectLevel.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 3, 51
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\SelectProgram.jsx", "JavaScript JSX", 0, 0, 0, 111, 0, 0, 3, 114
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\SelectStep.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\Smallinput.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\Stepone.jsx", "JavaScript JSX", 0, 0, 0, 54, 0, 0, 0, 54
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\Steptwo.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 12, 106
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\style.module.css", "CSS", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\CollegeProfile.js", "JavaScript", 0, 326, 0, 0, 0, 2, 3, 331
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\CollegeProfile.module.css", "CSS", 0, 0, 399, 0, 0, 0, 11, 410
