"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ViewModule.js", "JavaScript", 31, 0, 0, 0, 0, 31
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\PresenceTable.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\StudentPresence.js", "JavaScript", 21, 0, 0, 36, -2, 55
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\AboutComponent.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\Lenovo\Desktop\aps\src\components\login\Login.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\aps\src\components\navbar\Navbar.js", "JavaScript", 13, 0, 0, 0, 6, 19
"c:\Users\Lenovo\Desktop\aps\src\store\auth-slice.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\Lenovo\Desktop\aps\src\store\fire.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 10
"c:\Users\Lenovo\Desktop\aps\src\store\getandset.js", "JavaScript", 253, 0, 0, 1, 12, 266
"c:\Users\Lenovo\Desktop\aps\src\store\notify-slice.js", "JavaScript", 8, 0, 0, 0, 1, 9
"Total", "-", 2358, 10, 375, 56, 107, 2906
