"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddModule.module.css", "CSS", 0, 0, 0, 152, 0, 0, 12, 164
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddPost.js", "JavaScript", 88, 0, 0, 0, 0, 0, 1, 89
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\AddClass.js", "JavaScript", 192, 0, 0, 0, 0, 1, 12, 205
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\AddClass.module.css", "CSS", 0, 0, 0, 179, 0, 0, 18, 197
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\ClassroomsTable.js", "JavaScript", 157, 0, 0, 0, 0, 15, 12, 184
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\ClassroomsTable.module.css", "CSS", 0, 0, 0, 65, 0, 0, 1, 66
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\OptionsC.js", "JavaScript", 24, 0, 0, 0, 0, 1, 2, 27
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\DepartmentProfile.js", "JavaScript", 346, 0, 0, 0, 0, 2, 4, 352
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\DepartmentProfile.module.css", "CSS", 0, 0, 0, 422, 0, 0, 14, 436
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Divisions\AddDivision.js", "JavaScript", 56, 0, 0, 0, 0, 0, 1, 57
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Divisions\AddStudentsDivision.js", "JavaScript", 97, 0, 0, 0, 0, 0, 1, 98
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Divisions\Divsion.js", "JavaScript", 315, 0, 0, 0, 0, 1, 25, 341
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\AddCommite.js", "JavaScript", 153, 0, 0, 0, 0, 0, 4, 157
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\AddExam.js", "JavaScript", 185, 0, 0, 0, 0, 0, 0, 185
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\CommitteMembers.js", "JavaScript", 266, 0, 0, 0, 0, 3, 2, 271
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\ExamComitte.js", "JavaScript", 369, 0, 0, 0, 0, 1, 5, 375
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\Exams.js", "JavaScript", 283, 0, 0, 0, 0, 1, 14, 298
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\Grades.js", "JavaScript", 439, 0, 0, 0, 0, 5, 22, 466
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\temp.js", "JavaScript", 217, 0, 0, 0, 0, 0, 19, 236
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\LevelModule.js", "JavaScript", 156, 0, 0, 0, 0, 0, 2, 158
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\LevelModules.module.css", "CSS", 0, 0, 0, 132, 0, 0, 0, 132
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules.js", "JavaScript", 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules.module.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 49
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\AddNewModule.js", "JavaScript", 355, 0, 0, 0, 0, 5, 12, 372
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\AddNewModule.module.css", "CSS", 0, 0, 0, 262, 0, 0, 13, 275
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\EditModule.js", "JavaScript", 387, 0, 0, 0, 0, 31, 21, 439
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\ModulesTable.js", "JavaScript", 130, 0, 0, 0, 0, 0, 10, 140
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\ModulesTable.module.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 42
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\Options.js", "JavaScript", 18, 0, 0, 0, 0, 1, 0, 19
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\Options.module.css", "CSS", 0, 0, 0, 36, 0, 0, 2, 38
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\AddProffessor.js", "JavaScript", 334, 0, 0, 0, 0, 1, 24, 359
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\AddProffessor.module.css", "CSS", 0, 0, 0, 273, 0, 0, 13, 286
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\EditProfessor.js", "JavaScript", 342, 0, 0, 0, 0, 13, 27, 382
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\PrefessorTable.js", "JavaScript", 188, 0, 0, 0, 0, 1, 10, 199
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\ProfessorTable.module.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 42
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgram.js", "JavaScript", 398, 0, 0, 0, 0, 1, 9, 408
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgram.module.css", "CSS", 0, 0, 0, 268, 0, 0, 13, 281
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgramModule.js", "JavaScript", 117, 0, 0, 0, 0, 0, 3, 120
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgramModule.module.css", "CSS", 0, 0, 0, 147, 0, 0, 7, 154
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddSpeciality.js", "JavaScript", 193, 0, 0, 0, 0, 1, 12, 206
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddSpeciality.module.css", "CSS", 0, 0, 0, 111, 0, 0, 4, 115
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\BachelorFive.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\BachelorFour.js", "JavaScript", 52, 0, 0, 0, 0, 0, 2, 54
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\BachelorFour.module.css", "CSS", 0, 0, 0, 128, 0, 0, 2, 130
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\DisplayLevels.js", "JavaScript", 46, 0, 0, 0, 0, 0, 2, 48
