"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\BachelorFive.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 1, 52
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\BachelorFour.js", "JavaScript", -26, 0, 0, 0, 0, -13, -4, -43
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\DisplayLevels.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\HOC.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\PreviewBachelor.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ProgramManage.js", "JavaScript", 33, 0, 0, 0, 0, 4, -2, 35
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\Speciality.js", "JavaScript", 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddProgramModule.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleInfo.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\AddScheduling.js", "JavaScript", 339, 0, 0, 0, 0, 4, 13, 356
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\Schedule.js", "JavaScript", 378, 0, 0, 0, 0, 3, 7, 388
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\ScheduleTable.js", "JavaScript", 169, 0, 0, 0, 0, 1, 6, 176
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\Home.js", "JavaScript", 135, 0, 0, 0, 0, 1, 5, 141
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\InfoCards.js", "JavaScript", 61, 0, 0, 0, 0, 0, 1, 62
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\Posts.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\StudentCalendar.js", "JavaScript", 111, 0, 0, 0, 0, 0, 6, 117
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\TodaySchedule.js", "JavaScript", 110, 0, 0, 0, 0, 0, 2, 112
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\UpcomingClasses.js", "JavaScript", 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\StudentModules.js", "JavaScript", 148, 0, 0, 0, 0, 2, 2, 152
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ViewGrade.js", "JavaScript", 81, 0, 0, 0, 0, 0, 2, 83
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ViewModule.js", "JavaScript", 359, 0, 0, 0, 0, 0, 8, 367
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\EditProfile.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Confirm\Confirm.js", "JavaScript", 46, 0, 0, 0, 0, 0, 2, 48
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Form\ReactSelect.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Lenovo\Desktop\aps\src\components\login\Login.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\Desktop\aps\src\components\navbar\Navbar.js", "JavaScript", 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Lenovo\Desktop\aps\src\components\navbar\Navbar.module.css", "CSS", 0, 0, 88, 0, 0, 0, 7, 95
"c:\Users\Lenovo\Desktop\aps\src\components\universityAccounts\UniversityAccounts.js", "JavaScript", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Lenovo\Desktop\aps\src\hooks\usePaginationFetch.jsx", "JavaScript JSX", 0, -3, 0, 0, 0, 0, -2, -5
"c:\Users\Lenovo\Desktop\aps\src\index.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Lenovo\Desktop\aps\src\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, -1, 6
"c:\Users\Lenovo\Desktop\aps\src\package.json", "JSON", 0, 0, 0, 58, 0, 0, 1, 59
"c:\Users\Lenovo\Desktop\aps\src\store\Schedule-slice.js", "JavaScript", 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Lenovo\Desktop\aps\src\store\auth-slice.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 43
"c:\Users\Lenovo\Desktop\aps\src\store\fire.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 1, 1, 49
"c:\Users\Lenovo\Desktop\aps\src\store\getandset.js", "JavaScript", 123, 0, 0, 0, 0, 2, 7, 132
"c:\Users\Lenovo\Desktop\aps\src\store\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 4089, 1526, 1312, 58, 1, 65, 278, 7329
